PointType,Index,T,X,Y,Curvature
control,0,,-1.36285493429,1.578951039,
control,1,,1.64279319856,1.66979187127,
control,2,,5.09095379782,1.83135653662,
control,3,,8.50545828629,2.14091277373,
control,4,,11.8706816563,2.11506954871,
control,5,,15.0655892145,2.02937898834,
control,6,,18.505304876,1.67152528572,
control,7,,21.7543840188,1.261163976,
control,8,,25.0152395627,0.464375727413,
control,9,,28.4207469113,-0.78289191763,
control,10,,31.1765319896,-2.44039094037,
control,11,,33.1469338873,-5.11168608208,
control,12,,34.5946721488,-8.6876276169,
control,13,,34.803294365,-12.036399235,
control,14,,33.8962483085,-15.3857658216,
control,15,,32.1556006073,-18.3796567203,
control,16,,29.7977418691,-20.9159384433,
control,17,,27.3606437244,-23.2741769926,
control,18,,24.6181079762,-24.886259513,
control,19,,21.4338866516,-26.4099468864,
control,20,,18.021957579,-27.8364813687,
control,21,,14.6924769413,-28.6894207042,
control,22,,11.2567112249,-29.1156577072,
control,23,,7.74529169644,-28.7038729938,
control,24,,4.04351497425,-27.2848233793,
control,25,,0.658801216874,-25.0784001292,
control,26,,-2.2120957896,-21.9266694453,
control,27,,-4.64386252766,-19.6994622792,
control,28,,-6.70429045812,-17.988287754,
control,29,,-9.10305368962,-17.188230379,
control,30,,-12.1002590932,-17.1879475987,
control,31,,-14.5061999417,-18.1576150227,
control,32,,-16.35045117,-19.6167783115,
control,33,,-17.9078981458,-21.6566549078,
control,34,,-18.662343851,-24.2755862999,
control,35,,-18.2402213715,-27.7870602497,
control,36,,-17.1105215967,-31.4775002956,
control,37,,-18.1086011732,-34.8234584204,
control,38,,-20.2173746927,-37.1567119421,
control,39,,-21.2572728004,-39.3534465857,
control,40,,-21.150316584,-41.3569932869,
control,41,,-20.4358367331,-43.9657991387,
control,42,,-19.1256588827,-46.1666951487,
control,43,,-17.6366339595,-47.6854464168,
control,44,,-15.8123008875,-48.7401538526,
control,45,,-13.1223918176,-50.8531182099,
control,46,,-11.204223176,-53.8816539345,
control,47,,-10.4304094544,-57.422683571,
control,48,,-7.80145285395,-60.0416458427,
control,49,,-4.99848782237,-61.9472689632,
control,50,,-1.69724822044,-63.1369543198,
control,51,,1.3320728049,-65.0052102248,
control,52,,3.30594269512,-67.7678788251,
control,53,,4.69412877007,-70.9075655327,
control,54,,4.49347220657,-74.5968392838,
control,55,,3.38433526357,-77.7969868341,
control,56,,2.21924645173,-79.7530631749,
control,57,,-0.201258511646,-80.3958633179,
control,58,,-2.50471194923,-79.5334396269,
control,59,,-5.97583368309,-78.1760799525,
control,60,,-9.3771404611,-76.8976189018,
control,61,,-12.8783925449,-75.5351256267,
control,62,,-16.0278687249,-74.4525274536,
control,63,,-19.274513381,-73.3614320546,
control,64,,-22.4097945017,-72.1409371299,
control,65,,-25.5506892878,-70.3463540412,
control,66,,-27.6324124666,-67.7554973611,
control,67,,-28.3889231863,-64.5259742209,
control,68,,-27.6863422672,-60.757101526,
control,69,,-27.4171521121,-57.1961930322,
control,70,,-27.9543018146,-54.9544543435,
control,71,,-29.5364008885,-52.4522103466,
control,72,,-31.8974769723,-50.1851074097,
control,73,,-34.3052770879,-47.7080938787,
control,74,,-36.5005294754,-45.2016941563,
control,75,,-38.5211340126,-42.5064906099,
control,76,,-40.4410707313,-39.7770867686,
control,77,,-42.0727981667,-36.7229824756,
control,78,,-43.7934190249,-34.0512374772,
control,79,,-44.4449307528,-30.2816988017,
control,80,,-44.5072268623,-26.7205043889,
control,81,,-45.0836813552,-23.2933682118,
control,82,,-45.4023430306,-19.7390669015,
control,83,,-45.5049126123,-16.3889312093,
control,84,,-44.303650173,-12.8923358085,
control,85,,-41.9497544934,-11.4782569217,
control,86,,-38.224085517,-10.6817894306,
control,87,,-35.0280450008,-9.45124676439,
control,88,,-32.2859486954,-8.02029919097,
control,89,,-29.6237802288,-5.8915892082,
control,90,,-27.116482487,-3.50793651761,
control,91,,-24.6426643123,-1.10455858308,
control,92,,-21.676386583,0.149148879788,
control,93,,-18.3233149585,0.552653408522,
control,94,,-15.0136648291,0.844254513556,
control,95,,-11.7020457006,1.01555918033,
control,96,,-8.22866739832,1.29427452473,
control,97,,-4.57224520896,1.51199445615,
spline,0,0,-1.39681195793,1.58293174724,0.00300611829715
spline,1,0.1,-1.08697098438,1.59094885054,0.003372020544
spline,2,0.2,-0.778521260056,1.59925163928,0.00371751270415
spline,3,0.3,-0.47081635452,1.60788696184,0.00403570666714
spline,4,0.4,-0.163210272709,1.61690154205,0.00432041345005
spline,5,0.5,0.144943513898,1.62634245685,0.00456639685528
spline,6,0.6,0.454291221009,1.63625637418,0.00476955748314
spline,7,0.7,0.765478859194,1.64669024034,0.00492708323299
spline,8,0.8,1.07915307634,1.65769066537,0.00503753008965
spline,9,0.9,1.39595960775,1.6693047469,0.00510082525341
spline,10,1,1.7165452763,1.68157917678,0.00511816975739
spline,11,1.1,2.04136907569,1.69456599089,0.0058163666941
spline,12,1.2,2.37014159831,1.70833721166,0.006503439449
spline,13,1.3,2.70238667326,1.7229702552,0.00718902682316
spline,14,1.4,3.03762882667,1.73854237903,0.00788206604784
spline,15,1.5,3.37539133893,1.75513077488,0.00859106894781
spline,16,1.6,3.71519817537,1.7728127698,0.00932440513413
spline,17,1.7,4.05657307808,1.79166557484,0.0100905196012
spline,18,1.8,4.39903953,1.81176648673,0.0108981531057
spline,19,1.9,4.74212225367,1.83319286554,0.0117565809538
spline,20,2,5.08534444602,1.85602179858,0.0126758300165
spline,21,2.1,5.42830645821,1.88023719812,0.0086297415599
spline,22,2.2,5.77091705585,1.90544918519,0.00457193194165
spline,23,2.3,6.11315912182,1.93117426326,0.000497341448875
spline,24,2.4,6.45501881082,1.95692922229,-0.00359960293682
spline,25,2.5,6.79647818311,1.98223032412,-0.00772456064475
spline,26,2.6,7.13752300483,2.00659444137,-0.0118830018317
spline,27,2.7,7.47813838064,2.0295381904,-0.0160798132974
spline,28,2.8,7.81830697591,2.05057806394,-0.0203188764125
spline,29,2.9,8.15801481442,2.06923077957,-0.0246027304659
spline,30,3,8.49724476655,2.08501286337,-0.0289320646152
spline,31,3.1,8.83596419978,2.09756741495,-0.0266615593895
spline,32,3.2,9.17407056524,2.10704355729,-0.0243955026836
spline,33,3.3,9.51144136234,2.11371680232,-0.0221302113563
spline,34,3.4,9.84795742837,2.11786280859,-0.0198612056005
spline,35,3.5,10.1834950353,2.11975685294,-0.0175832907952
spline,36,3.6,10.5179348964,2.11967473107,-0.0152905726027
spline,37,3.7,10.8511565898,2.11789192587,-0.0129764534876
spline,38,3.8,11.1830374063,2.11468399841,-0.0106336473176
spline,39,3.9,11.5134579403,2.11032649825,-0.00825414506684
spline,40,4,11.8422956877,2.10509499282,-0.00582924096462
spline,41,4.1,12.1695194441,2.09918366933,-0.00783330816398
spline,42,4.2,12.4954552878,2.09246157962,-0.00983568361142
spline,43,4.3,12.8205195428,2.08471632073,-0.0118128603801
spline,44,4.4,13.1451253187,2.0757358115,-0.0137411607583
spline,45,4.5,13.4696873581,2.06530738358,-0.0155973929509
spline,46,4.6,13.7946221963,2.05321896996,-0.0173594109926
spline,47,4.7,14.1203445316,2.03925817455,-0.0190066885469
spline,48,4.8,14.4472716456,2.02321271447,-0.0205208570389
spline,49,4.9,14.7758144354,2.00487021385,-0.0218861144774
spline,50,5,15.1063905651,1.98401846463,-0.0230896784168
spline,51,5.1,15.4392727601,1.96051705165,-0.0209205426773
spline,52,5.2,15.7741677393,1.9345136877,-0.0189265040637
spline,53,5.3,16.1106412455,1.90622784486,-0.0170803416845
spline,54,5.4,16.4482559612,1.87587959359,-0.0153579702261
spline,55,5.5,16.7865756199,1.84368816309,-0.0137377760757
spline,56,5.6,17.125166568,1.80987344426,-0.0122000977752
spline,57,5.7,17.4635928197,1.77465501174,-0.0107267150347
spline,58,5.8,17.801421305,1.73825245475,-0.00930039703687
spline,59,5.9,18.138211931,1.70088557273,-0.00790449421615
spline,60,6,18.4735321229,1.66277401787,-0.0065225048419
spline,61,6.1,18.8070519574,1.62404509829,-0.00937874509729
spline,62,6.2,19.1388680284,1.58445720194,-0.0122755069284
spline,63,6.3,19.4691838173,1.54367618204,-0.0151942598638
spline,64,6.4,19.7982001899,1.50136861788,-0.0181152006722
spline,65,6.5,20.126118195,1.45720016115,-0.0210175057201
spline,66,6.6,20.4531424366,1.41083708782,-0.0238794712041
spline,67,6.7,20.779474652,1.36194541282,-0.0266787537419
spline,68,6.8,21.1053197525,1.31019105798,-0.0293926753856
spline,69,6.9,21.4308752842,1.25524042089,-0.0319984716452
spline,70,7,21.7563467523,1.19675948619,-0.0344738371216
spline,71,7.1,22.081924035,1.13445924771,-0.0345338985431
spline,72,7.2,22.4077521748,1.06823070757,-0.0345196674938
spline,73,7.3,22.7339650272,0.998009452139,-0.0344320412255
spline,74,7.4,23.0606942075,0.923732164397,-0.0342724213002
spline,75,7.5,23.3880707117,0.845334303053,-0.03404276162
spline,76,7.6,23.7162299875,0.762751959724,-0.0337455332262
spline,77,7.7,24.0453041124,0.675921027223,-0.0333836606493
spline,78,7.8,24.375428653,0.584777085484,-0.0329604827414
spline,79,7.9,24.7067312637,0.489256808306,-0.0324796727541
spline,80,8,25.0393481968,0.389295828004,-0.031945267564
spline,81,8.1,25.3732585756,0.284846941126,-0.0329186829867
spline,82,8.2,25.7078175776,0.175934518453,-0.0341339916603
spline,83,8.3,26.0422374275,0.0625967719292,-0.0356065673325
spline,84,8.4,26.3757183889,-0.0551239313906,-0.0373578112681
spline,85,8.5,26.7074709356,-0.17718956957,-0.0394157940189
spline,86,8.6,27.0366982438,-0.303558794646,-0.0418159014446
spline,87,8.7,27.362602091,-0.434190088902,-0.0446019759678
spline,88,8.8,27.6843962461,-0.569045674082,-0.0478278243685
spline,89,8.9,28.0012779517,-0.70808281291,-0.0515587556172
spline,90,9,28.3124598662,-0.851263813913,-0.0558740310254
spline,91,9.1,28.6172545259,-0.998654469667,-0.0632339953539
spline,92,9.2,28.9154130583,-1.15074956948,-0.0707984440035
spline,93,9.3,29.2068057601,-1.30815554085,-0.078487734098
spline,94,9.4,29.4912925194,-1.47147304818,-0.0861988522006
spline,95,9.5,29.7687414202,-1.64130866851,-0.0938050779025
spline,96,9.6,30.039014888,-1.81826448767,-0.101156237766
spline,97,9.7,30.3019739515,-2.00294223527,-0.10808227188
spline,98,9.8,30.5574901413,-2.19594907051,-0.114399577043
spline,99,9.9,30.8054203379,-2.39788486412,-0.119919597649
spline,100,10,31.0456347928,-2.6093569602,-0.124461156505
spline,101,10.1,31.2780620064,-2.83084832742,-0.120377432011
spline,102,10.2,31.5028955137,-3.06236630989,-0.115692498063
spline,103,10.3,31.7204026578,-3.30380613365,-0.110532370533
spline,104,10.4,31.9308431637,-3.55505424721,-0.105022424506
spline,105,10.5,32.1344819631,-3.81600606356,-0.0992814281221
spline,106,10.6,32.3315806391,-4.08655018308,-0.0934176812215
spline,107,10.7,32.5223992223,-4.3665746366,-0.087526277711
spline,108,10.8,32.7072064405,-4.65597582526,-0.081687595087
spline,109,10.9,32.8862586337,-4.95463894023,-0.0759674254016
spline,110,11,33.0598232813,-5.26246048093,-0.0704171967365
spline,111,11.1,33.2279983243,-5.57915814958,-0.0683822329243
spline,112,11.2,33.3902282489,-5.90376734654,-0.0673000832249
spline,113,11.3,33.5458000821,-6.2351624036,-0.0670941553562
spline,114,11.4,33.6939955955,-6.5722055374,-0.0677253716375
spline,115,11.5,33.8340992747,-6.91377094275,-0.0691875466386
spline,116,11.6,33.9653941577,-7.25872379011,-0.071505085623
spline,117,11.7,34.0871617193,-7.60592873784,-0.0747327055407
spline,118,11.8,34.1986903439,-7.9542610258,-0.078956937578
spline,119,11.9,34.2992583926,-8.3025818072,-0.0842986940621
spline,120,12,34.3881528079,-8.64976596412,-0.0909177611605
spline,121,12.1,34.4647962339,-8.99490507447,-0.0940991741361
spline,122,12.2,34.5291708056,-9.33799688289,-0.0968507619014
spline,123,12.3,34.5814016341,-9.67927568803,-0.0991043747191
spline,124,12.4,34.6216123523,-10.0189632221,-0.100801248162
spline,125,12.5,34.6499252503,-10.3572931145,-0.10189542674
spline,126,12.6,34.6664643109,-10.6944901752,-0.102356238615
spline,127,12.7,34.6713520179,-11.0307786773,-0.102170248162
spline,128,12.8,34.6647145181,-11.3663934997,-0.101341966807
spline,129,12.9,34.6466721599,-11.7015552772,-0.0998934683357
spline,130,13,34.6173496529,-12.0364983964,-0.0978629120408
spline,131,13.1,34.5768970972,-12.371350256,-0.0947921073312
spline,132,13.2,34.5255698754,-12.7058486624,-0.0919148578321
spline,133,13.3,34.4636495586,-13.0396439644,-0.0892427551034
spline,134,13.4,34.3914205158,-13.372374311,-0.0867841042059
spline,135,13.5,34.3091615468,-13.70368918,-0.0845444579192
spline,136,13.6,34.2171563259,-14.0332297002,-0.0825274449258
spline,137,13.7,34.1156869719,-14.3606363006,-0.0807353233755
spline,138,13.8,34.0050362182,-14.6855601079,-0.0791694355752
spline,139,13.9,33.8854849773,-15.0076378115,-0.0778307738417
spline,140,14,33.757314701,-15.3265198736,-0.0767202659493
spline,141,14.1,33.6207976735,-15.6418895999,-0.0754095674908
spline,142,14.2,33.4761618699,-15.9535992622,-0.0741061354766
spline,143,14.3,33.323621431,-16.2615527626,-0.0728191270344
spline,144,14.4,33.1633966948,-16.5656427777,-0.0715568691126
spline,145,14.5,32.9956991937,-16.865772003,-0.0703267775126
spline,146,14.6,32.8207477389,-17.1618358573,-0.0691354858608
spline,147,14.7,32.6387595673,-17.4537289682,-0.0679888868942
spline,148,14.8,32.4499501173,-17.7413559699,-0.0668921380427
spline,149,14.9,32.2545361873,-18.0246078772,-0.0658498178727
spline,150,15,32.0527321012,-18.3033885243,-0.0648659236508
spline,151,15.1,31.8448097159,-18.5776568113,-0.0598051937788
spline,152,15.2,31.6312547231,-18.8476257475,-0.0547472555333
spline,153,15.3,31.412601536,-19.1135801955,-0.0497122420196
spline,154,15.4,31.1893932342,-19.3757954045,-0.0447130046515
spline,155,15.5,30.962161854,-19.6345548245,-0.0397555195251
spline,156,15.6,30.7314483494,-19.8901360566,-0.0348400392178
spline,157,15.7,30.4977920734,-20.1428157226,-0.0299617258663
spline,158,15.8,30.2617289151,-20.3928796231,-0.0251112021103
spline,159,15.9,30.0237983135,-20.6406009056,-0.0202755093496
spline,160,16,29.7845353014,-20.886264581,-0.0154382749007
spline,161,16.1,29.5443527677,-21.1300066993,-0.0203512593614
spline,162,16.2,29.3031517445,-21.3714003677,-0.0253879840253
spline,163,16.3,29.060710396,-21.6098726206,-0.030577167517
spline,164,16.4,28.8167929991,-21.8448644742,-0.0359463874875
spline,165,16.5,28.5711786924,-22.0758035679,-0.0415208174896
spline,166,16.6,28.3236411282,-22.3021217408,-0.0473226891499
spline,167,16.7,28.0739541703,-22.5232509929,-0.0533700155472
spline,168,16.8,27.8218959816,-22.7386185713,-0.0596749086047
spline,169,16.9,27.5672307464,-22.9476648197,-0.0662421689682
spline,170,17,27.3097374572,-23.1498176545,-0.073066287446
spline,171,17.1,27.0492049823,-23.3447133755,-0.0700338468158
spline,172,17.2,26.7854819568,-23.5328053673,-0.0663860936183
spline,173,17.3,26.5184370231,-23.7147476484,-0.0621981887179
spline,174,17.4,26.2479234654,-23.891204897,-0.0575560250753
spline,175,17.5,25.9738107841,-24.06283177,-0.0525523197045
spline,176,17.6,25.6959625879,-24.2302859754,-0.0472821170751
spline,177,17.7,25.4142426767,-24.3942253977,-0.041839092689
spline,178,17.8,25.1285198928,-24.5553041663,-0.0363124791271
spline,179,17.9,24.8386470555,-24.7141863923,-0.0307843790857
spline,180,18,24.5444937135,-24.8715269885,-0.0253288622339
spline,181,18.1,24.2459820533,-25.0278727406,-0.0237784234453
spline,182,18.2,23.9432675662,-25.1833259015,-0.0223441128715
spline,183,18.3,23.6365699318,-25.3378744264,-0.0210147658449
spline,184,18.4,23.3260911357,-25.4915154171,-0.019780237656
spline,185,18.5,23.0120516196,-25.6442376156,-0.0186314899603
spline,186,18.6,22.6946652262,-25.7960321943,-0.0175604075788
spline,187,18.7,22.3741459672,-25.9468905162,-0.0165596830797
spline,188,18.8,22.0507137058,-26.0968003554,-0.0156227054154
spline,189,18.9,21.7245700083,-26.2457588837,-0.0147434572727
spline,190,19,21.3959353603,-26.3937547379,-0.0139165655122
spline,191,19.1,21.0650398211,-26.5407013217,-0.0160986514252
spline,192,19.2,20.7321774124,-26.6862000522,-0.018326125788
spline,193,19.3,20.3976645475,-26.8297714021,-0.0206230019618
spline,194,19.4,20.0617983304,-26.9709443593,-0.023013646835
spline,195,19.5,19.7248958796,-27.1092402101,-0.0255230234005
spline,196,19.6,19.3872672248,-27.2441824303,-0.0281773169198
spline,197,19.7,19.0492225421,-27.3752946953,-0.031004322711
spline,198,19.8,18.711078207,-27.5020975419,-0.0340337944614
spline,199,19.9,18.3731313751,-27.6241195772,-0.0372981105392
spline,200,20,18.0356989848,-27.7408821775,-0.0408323154721
spline,201,20.1,17.6990080821,-27.8520128988,-0.0410483442678
spline,202,20.2,17.3629529848,-27.9575546523,-0.0411338468026
spline,203,20.3,17.0273512539,-28.0576521121,-0.0410854934939
spline,204,20.4,16.6920010838,-28.1524559039,-0.0409014700147
spline,205,20.5,16.3567206634,-28.2421115056,-0.0405815389621
spline,206,20.6,16.0213211401,-28.3267657229,-0.0401270581973
spline,207,20.7,15.6856137832,-28.4065655681,-0.0395409699245
spline,208,20.8,15.3494161097,-28.4816559122,-0.0388277127667
spline,209,20.9,15.0125264495,-28.5521866951,-0.0379931003153
spline,210,21,14.6747627615,-28.6183036488,-0.0370443012784
spline,211,21.1,14.335972895,-28.6800607429,-0.0403330231333
spline,212,21.2,13.9961508363,-28.7371395897,-0.0436355240904
spline,213,21.3,13.6553336678,-28.7891275674,-0.0469476559083
spline,214,21.4,13.3135387601,-28.8356152284,-0.0502628197961
spline,215,21.5,12.9708036895,-28.876190788,-0.053571408125
spline,216,21.6,12.6271589821,-28.9104428236,-0.0568609010251
spline,217,21.7,12.28263526,-28.9379601231,-0.0601156588215
spline,218,21.8,11.9372696606,-28.9583304205,-0.0633167120928
spline,219,21.9,11.5910795056,-28.9711433355,-0.0664420866867
spline,220,22,11.2441022562,-28.9759874211,-0.0694666315876
spline,221,22.1,10.8963443315,-28.9724918084,-0.0703138645863
spline,222,22.2,10.5477151772,-28.9604467972,-0.0709260657477
spline,223,22.3,10.1981067514,-28.9396832871,-0.0712952087364
spline,224,22.4,9.84739076769,-28.9100310843,-0.0714166002331
spline,225,22.5,9.49545956473,-28.8713218793,-0.071289103427
spline,226,22.6,9.14219834397,-28.8233863157,-0.0709153249736
spline,227,22.7,8.78749237662,-28.7660552456,-0.0703015215702
spline,228,22.8,8.43123375679,-28.6991602131,-0.0694573252862
spline,229,22.9,8.07329403489,-28.6225295352,-0.0683955160176
spline,230,23,7.71356549749,-28.5359955103,-0.0671318251134
spline,231,23.1,7.35203712491,-28.4394538488,-0.0643549068115
spline,232,23.2,6.98911259372,-28.3330594726,-0.0619555070925
spline,233,23.3,6.62530630623,-28.2170342814,-0.0599017135105
spline,234,23.4,6.26111156228,-28.0915935276,-0.0581658855621
spline,235,23.5,5.89704303891,-27.9569598837,-0.0567246339698
spline,236,23.6,5.53360807842,-27.8133531189,-0.0555583768453
spline,237,23.7,5.1713140675,-27.6609932045,-0.0546510208674
spline,238,23.8,4.810675363,-27.5001026756,-0.0539896123311
spline,239,23.9,4.45218544319,-27.330895335,-0.0535641564518
spline,240,24,4.09635880172,-27.15359444,-0.053367543638
spline,241,24.1,3.74365106854,-26.9683569985,-0.0544982824951
spline,242,24.2,3.39431073247,-26.7750879284,-0.0555928572039
spline,243,24.3,3.04854117675,-26.5736329627,-0.0566432681032
spline,244,24.4,2.70652575712,-26.3638262339,-0.057641141413
spline,245,24.5,2.36846808964,-26.145514232,-0.0585777722507
spline,246,24.6,2.03456486354,-25.9185388899,-0.0594443801657
spline,247,24.7,1.70501278864,-25.6827423292,-0.0602321930399
spline,248,24.8,1.38001490284,-25.4379709426,-0.0609324912423
spline,249,24.9,1.05975538101,-25.1840574552,-0.0615369218329
spline,250,25,0.744437342024,-24.9208488903,-0.0620376592634
spline,251,25.1,0.434212274491,-24.648525347,-0.0527537365743
spline,252,25.2,0.129050702673,-24.3686185953,-0.044141825282
spline,253,25.3,-0.171116291514,-24.0830037818,-0.0360322910929
spline,254,25.4,-0.466375008168,-23.7935395443,-0.028248756252
spline,255,25.5,-0.756794223463,-23.502101789,-0.0206065138664
spline,256,25.6,-1.04244867183,-23.2105602301,-0.0129061670186
spline,257,25.7,-1.32341308993,-22.9207847567,-0.00492488406109
spline,258,25.8,-1.59975677151,-22.6346503023,0.00359592064501
spline,259,25.9,-1.87156511074,-22.3540157115,0.0129684099229
spline,260,26,-2.13890741153,-22.0807566983,0.0235809787074
spline,261,26.1,-2.40185724493,-21.8163634439,0.0236574065155
spline,262,26.2,-2.66048356678,-21.5608070758,0.0235980353351
spline,263,26.3,-2.91484924769,-21.3136835525,0.0233852558851
spline,264,26.4,-3.16503190722,-21.0745747248,0.0230007437455
spline,265,26.5,-3.41109438622,-20.8430774489,0.0224257755996
spline,266,26.6,-3.65310450651,-20.6187831111,0.0216415643321
spline,267,26.7,-3.89113011244,-20.4012832582,0.0206295359879
spline,268,26.8,-4.12523436905,-20.1901730425,0.0193716587581
spline,269,26.9,-4.35549415218,-19.9850358969,0.0178508615567
spline,270,27,-4.5819727264,-19.7854677194,0.0160517260357
spline,271,27.1,-4.80484490356,-19.5911939981,0.0260816988329
spline,272,27.2,-5.02471338637,-19.4024758034,0.0370329628601
spline,273,27.3,-5.2422835983,-19.2197114763,0.0488932974149
spline,274,27.4,-5.45827360261,-19.0432889361,0.0616185166687
spline,275,27.5,-5.67338891984,-18.8736073039,0.0751196695421
spline,276,27.6,-5.88833924648,-18.7110615677,0.0892514263595
spline,277,27.7,-6.10383432119,-18.5560468612,0.103799499909
spline,278,27.8,-6.32057944575,-18.408960692,0.118470487166
spline,279,27.9,-6.53929270662,-18.2701925293,0.132889171677
spline,280,28,-6.76067967496,-18.1401406123,0.1466024357
spline,281,28.1,-6.98537514774,-18.0191156768,0.149076716611
spline,282,28.2,-7.21371415989,-17.9070907098,0.15027586318
spline,283,28.3,-7.44595219341,-17.8039560673,0.15015488895
spline,284,28.4,-7.68235831105,-17.7095963378,0.148718517352
